NodeName,PropName,Type,DefaultValue,IsRequired
header,header,string,,false
header,subheader,string,,false
header,description,string,,false
header,level,number,2,false
header,gap,number,4,false
box,type,string,number,false
box,min,number,,false
box,max,number,,false
box,placeholder,string,,false
box,label,string,,false
box,property,string,,true
box,icon,string,,false
tile,type,string,,false
tile,icon,string,,false
tile,header,string,,false
tile,property,string,,false
tile,fill,string,replace,false
tile,description,string,,false
tile,value,string,,true
tile,iconSize,number,1,false
grid,size,number,1,false
grid,type,string,,false
column,type,string,,false